id,package,version,asset,count_2022_12_05,count_2022_12_06,count_2022_12_07,count_2022_12_08,count_2022_12_09,count_2022_12_10,count_2022_12_11,count_2022_12_12,count_2022_12_13,count_2022_12_14,count_2022_12_15,count_2022_12_16,count_2022_12_17,count_2022_12_18,count_2022_12_19,count_2022_12_20,count_2022_12_21,count_2022_12_22,count_2022_12_23
itk_20221217-073213_63bddb5_itk-install.tar.gz,itk,20221217-073213 63bddb5,itk-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,10,10,10,10
h5py_20221217-074601_63bddb5_h5py-install.tar.gz,h5py,20221217-074601 63bddb5,h5py-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,27,31,31,31,31,31
gmsh_20221217-094232_63bddb5_gmsh-install.tar.gz,gmsh,20221217-094232 63bddb5,gmsh-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,6,6,6
gcc_20221217-061752_63bddb5_gcc-install.tar.gz,gcc,20221217-061752 63bddb5,gcc-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,52,52,52,54,54
firedrake_20221217-094230_63bddb5_complex_firedrake-install.tar.gz,firedrake,20221217-094230 63bddb5 complex,firedrake-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
firedrake_20221217-094228_63bddb5_real_firedrake-install.tar.gz,firedrake,20221217-094228 63bddb5 real,firedrake-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
fenicsx_20221217-094230_63bddb5_complex_fenicsx-install.tar.gz,fenicsx,20221217-094230 63bddb5 complex,fenicsx-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
fenicsx_20221217-094226_63bddb5_real_fenicsx-install.tar.gz,fenicsx,20221217-094226 63bddb5 real,fenicsx-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,6,6,6
boost_20221217-071455_63bddb5_boost-install.tar.gz,boost,20221217-071455 63bddb5,boost-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,17,17,17,17
ngsolve_20221217-004223_b2373db_ngsolve-install.tar.gz,ngsolve,20221217-004223 b2373db,ngsolve-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
gmsh_20221217-004125_b2373db_gmsh-install.tar.gz,gmsh,20221217-004125 b2373db,gmsh-install.tar.gz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3
